,std_ID,cs_ID,cg_ID,semestre,moyenne,grade,grade_ECTS,lieu,time_id
96,9,10,3,S2,12.5,au dessus,B,Nantes,0
97,9,11,3,S1,13.333,au dessus,B,Nantes,1
98,9,12,3,S2,10.0,atteint,A,Nantes,0
99,9,13,3,S1,20.0,au dessus,A,Nantes,1
100,9,14,3,S2,12.5,au dessus,B,Nantes,0
101,10,0,0,S2,10.0,atteint,B,Nantes,0
102,10,1,0,S2,10.0,atteint,B,Nantes,0
103,10,3,1,S2,10.0,atteint,B,Nantes,0
104,10,9,3,S1,13.333,au dessus,B,Nantes,1
105,10,10,3,S2,15.0,au dessus,A,Nantes,0
106,10,11,3,S1,13.333,au dessus,B,Nantes,1
107,10,12,3,S2,0.0,en dessous,F,Nantes,0
108,10,13,3,S1,20.0,au dessus,A,Nantes,1
109,10,14,3,S2,7.5,en dessous,F,Nantes,0
110,11,0,0,S2,10.0,atteint,B,Nantes,0
111,11,1,0,S2,10.0,atteint,B,Nantes,0
112,11,3,1,S2,20.0,au dessus,A,Nantes,0
113,11,9,3,S1,16.667,au dessus,A,Nantes,1
114,11,10,3,S2,10.0,atteint,C,Nantes,0
115,11,11,3,S1,13.333,au dessus,B,Nantes,1
116,11,12,3,S2,10.0,atteint,A,Nantes,0
117,11,13,3,S1,10.0,atteint,C,Nantes,1
118,11,14,3,S2,7.5,en dessous,F,Nantes,0
119,12,0,0,S2,10.0,atteint,B,Nantes,0
120,12,1,0,S2,10.0,atteint,B,Nantes,0
121,12,3,1,S2,10.0,atteint,B,Nantes,0
122,12,9,3,S1,10.0,atteint,C,Nantes,1
123,12,10,3,S2,10.0,atteint,C,Nantes,0
124,12,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
125,12,12,3,S2,10.0,atteint,A,Nantes,0
126,12,13,3,S1,0.0,en dessous,F,Nantes,1
127,12,14,3,S2,10.0,atteint,C,Nantes,0
128,13,0,0,S2,10.0,atteint,B,Nantes,0
129,13,1,0,S2,0.0,en dessous,F,Nantes,0
130,13,3,1,S2,10.0,atteint,B,Nantes,0
131,13,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
132,13,10,3,S2,10.0,atteint,C,Nantes,0
133,13,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
134,13,12,3,S2,10.0,atteint,A,Nantes,0
135,13,13,3,S1,0.0,en dessous,F,Nantes,1
136,13,14,3,S2,10.0,atteint,C,Nantes,0
137,14,0,0,S2,10.0,atteint,B,Nantes,0
138,14,1,0,S2,10.0,atteint,B,Nantes,0
139,14,3,1,S2,10.0,atteint,B,Nantes,0
140,14,9,3,S1,10.0,atteint,C,Nantes,1
141,14,10,3,S2,15.0,au dessus,A,Nantes,0
142,14,11,3,S1,13.333,au dessus,B,Nantes,1
143,14,12,3,S2,10.0,atteint,A,Nantes,0
144,14,13,3,S1,10.0,atteint,C,Nantes,1
145,14,14,3,S2,10.0,atteint,C,Nantes,0
146,15,0,0,S2,10.0,atteint,B,Nantes,0
147,15,1,0,S2,10.0,atteint,B,Nantes,0
148,15,3,1,S2,10.0,atteint,B,Nantes,0
149,15,5,1,S2,0.0,en dessous,F,Nantes,0
150,15,7,2,S1,0.0,en dessous,F,Nantes,1
151,15,9,3,S1,10.0,atteint,C,Nantes,1
152,15,10,3,S2,2.5,en dessous,F,Nantes,0
153,15,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
154,15,12,3,S2,10.0,atteint,A,Nantes,0
155,15,13,3,S1,10.0,atteint,C,Nantes,1
156,15,14,3,S2,10.0,atteint,C,Nantes,0
157,16,0,0,S2,10.0,atteint,B,Nantes,0
158,16,1,0,S2,10.0,atteint,B,Nantes,0
159,16,3,1,S2,20.0,au dessus,A,Nantes,0
160,16,5,1,S2,0.0,en dessous,F,Nantes,0
161,16,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
162,16,10,3,S2,10.0,atteint,C,Nantes,0
163,16,11,3,S1,13.333,au dessus,B,Nantes,1
164,16,12,3,S2,10.0,atteint,A,Nantes,0
165,16,13,3,S1,20.0,au dessus,A,Nantes,1
166,16,14,3,S2,15.0,au dessus,A,Nantes,0
167,17,0,0,S2,20.0,au dessus,A,Nantes,0
168,17,1,0,S2,10.0,atteint,B,Nantes,0
169,17,3,1,S2,20.0,au dessus,A,Nantes,0
170,17,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
171,17,10,3,S2,5.0,en dessous,F,Nantes,0
172,17,11,3,S1,3.333,en dessous,F,Nantes,1
173,17,12,3,S2,0.0,en dessous,F,Nantes,0
174,17,13,3,S1,0.0,en dessous,F,Nantes,1
175,17,14,3,S2,5.0,en dessous,F,Nantes,0
176,18,0,0,S2,10.0,atteint,B,Nantes,0
177,18,1,0,S2,10.0,atteint,B,Nantes,0
178,18,3,1,S2,10.0,atteint,B,Nantes,0
179,18,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
180,18,10,3,S2,10.0,atteint,C,Nantes,0
181,18,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
182,18,12,3,S2,10.0,atteint,A,Nantes,0
183,18,13,3,S1,0.0,en dessous,F,Nantes,1
184,18,14,3,S2,10.0,atteint,C,Nantes,0
185,19,0,0,S2,10.0,atteint,B,Nantes,0
186,19,1,0,S2,20.0,au dessus,A,Nantes,0
187,19,3,1,S2,0.0,en dessous,F,Nantes,0
188,19,5,1,S2,0.0,en dessous,F,Nantes,0
189,19,7,2,S1,0.0,en dessous,F,Nantes,1
190,19,8,2,S2,0.0,en dessous,F,Nantes,0
191,19,9,3,S1,16.667,au dessus,A,Nantes,1
192,19,10,3,S2,7.5,en dessous,F,Nantes,0
193,19,11,3,S1,10.0,atteint,C,Nantes,1
194,19,12,3,S2,10.0,atteint,A,Nantes,0
195,19,13,3,S1,20.0,au dessus,A,Nantes,1
196,19,14,3,S2,15.0,au dessus,A,Nantes,0
197,20,0,0,S2,10.0,atteint,B,Nantes,0
198,20,1,0,S2,0.0,en dessous,F,Nantes,0
199,20,3,1,S2,10.0,atteint,B,Nantes,0
200,20,7,2,S2,20.0,au dessus,A,Nantes,0
201,20,9,3,S1,13.333,au dessus,B,Nantes,1
